$csv_data = <<<'CSV'
"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Gravand","gravand","publish","Fugler","Tadorna tadorna","Gravand er en stor og iøynefallende and som hekker i gruntvannsområder langs norskekysten.","Gravand er stor som en liten gås og har en tydelig svart, hvit og kastanjebrun fjærdrakt. Hannen har en rød nebbknøl i hekketiden. Arten hekker i gruntvannsområder langs kysten, søker ofte næring på mudderflater, og de fleste norske gravender overvintrer i Vadehavet.","Ca. 55–65 cm","Ca. 0,8–1,5 kg","Stor and med hvit kropp, svartgrønnt hode, kastanjebrunt brystbånd og rødt nebb. Hannen har rød nebbknøl.","Gruntvannsområder, kyst, mudderflater, fjæresone og brakkvannsområder.","Hekker i gruntvannsområder langs hele norskekysten.","En av de tidligste andeartene tilbake om våren. De fleste norske fugler overvintrer i Vadehavet.","Marine virvelløse dyr, små krepsdyr, snegler, muslinger og andre smådyr på mudderflater.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3496","https://artsdatabanken.no/arter/takson/3496","https://snl.no/gravand","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
"Gresshoppesanger","gresshoppesanger","publish","Fugler","Locustella naevia","Gresshoppesanger er en skjultlevende sangfugl i tett vegetasjon, kjent for sin lange, sirrende sang.","Gresshoppesanger er en brunlig og nokså anonym spurvefugl som ofte er vanskelig å se, men lettere å høre. Sangen er en lang, gresshoppelignende sirring. Arten trives i tett vegetasjon i våtmark, buskmark, kystnære enger og halvåpne områder. Den er vurdert som sårbar i Norge.","Ca. 13–14 cm","Ca. 12–18 g","Brunlig sangfugl med stripet overside, lang avrundet stjert og svært karakteristisk, sirrende sang.","Våtmark, semi-naturlig mark, kyst og områder med tett gras- og buskvegetasjon.","Hekker fåtallig og lokalt i Norge, særlig i egnede områder med tett vegetasjon.","Trekkfugl. Ses i Norge vår til høst.","Insekter, edderkopper og andre smådyr.","VU – Sårbar","Finnes i Norge. Etablert, men fåtallig hekkefugl.","203674","https://artsdatabanken.no/arter/takson/203674","https://snl.no/gresshoppesanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
"Grønnfink","groennfink","publish","Fugler","Chloris chloris","Grønnfink er en kraftig, grønngul fink som ofte besøker fuglebrett, men arten er nå vurdert som sårbar i Norge.","Grønnfink er en frøspisende fink med kraftig nebb og tydelige gule felt på vinger og stjert. Den hekker i kulturlandskap, hager, parker og skogkanter, og er en vanlig gjest på fuglematere. Arten har hatt tydelig bestandsnedgang og er vurdert som sårbar i Norsk rødliste for arter.","Ca. 15 cm","25–31 g","Grønngul fink med kraftig nebb. Hannen er mer grønngul, hunnen gråere. Begge kjønn har gule vingebremmer og gult på stjertsidene.","Hager, parker, kulturlandskap, skogkanter og områder med busker og trær.","Hekker i store deler av Norge, særlig i kulturlandskap og lavland.","Hele året mange steder. Hovedsakelig standfugl, men noen individer trekker ut av landet.","Hovedsakelig frø og bær. På fuglemater tar den gjerne solsikkefrø.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl.","203758","https://artsdatabanken.no/arter/takson/203758","https://snl.no/gr%C3%B8nnfink","https://www.fuglevennen.no/arter/?or_id=508","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 2 - grunnfelt kontrollert"
"Grønnsisik","groennsisik","publish","Fugler","Spinus spinus","Grønnsisik er en liten fink knyttet til skog, særlig barskog, og opptrer ofte i flokker utenfor hekketiden.","Grønnsisik er en liten, livlig og ofte flokklevene fink. Den har gulgrønne toner i fjærdrakten, mørke vinger med gule felt og et spisst nebb tilpasset frø. Arten hekker særlig i skog og lever hovedsakelig av frø fra bartrær, bjørk, or og andre planter, men tar også smådyr i hekketiden.","Ca. 11–12 cm","Ca. 12–15 g","Liten fink med gulgrønne partier, mørke vinger og tydelige gule vingefelt. Hannen er mer gulgrønn og har svart isse og strupeflekk.","Skog, særlig barskog og blandingsskog.","Hekker i skogområder i store deler av Norge.","Hele året eller delvis trekkfugl/streiffugl. Opptrer ofte i flokker utenfor hekketiden.","Frø fra bartrær, bjørk, or og andre planter. Kan besøke fuglematere for små frø og solsikkefrø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203764","https://artsdatabanken.no/arter/takson/203764","https://snl.no/gr%C3%B8nnsisik","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Grønnspett","groennspett","publish","Fugler","Picus viridis","Grønnspett er en stor spett med grønn overside, rød isse og bølgende flukt.","Grønnspett er en av de større spetteartene i Norge. Den har grønn overside, grå underside, rødt på hodet og et gult parti ved stjertbasis som ofte synes i flukt. Arten er knyttet til skog, skogkanter, kulturlandskap og åpne områder med trær. Maur er en svært viktig del av dietten.","30–36 cm","180–250 g","Grønn overside, grå underside, rød isse og gulgrønt parti ved stjertbasis. Hannen har rød flekk i den svarte skjeggstripen.","Skog og semi-naturlig mark, gjerne åpne skogområder, parker, hagemiljø og kulturlandskap med gamle trær.","Hekker i egnede skog- og kulturlandskapsområder, særlig i Sør-Norge.","Hele året. Hovedsakelig standfugl.","Maur og andre insekter er viktig næring. Søker ofte mat på bakken.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203616","https://artsdatabanken.no/arter/takson/203616","https://snl.no/gr%C3%B8nnspett","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Grønnstilk","groennstilk","publish","Fugler","Tringa glareola","Grønnstilk er en liten og slank vadefugl knyttet til myrer, våtmark og grunne vannkanter.","Grønnstilk er en elegant vadefugl med forholdsvis lange grønnlige bein, brunspettet overside og lys underside. Den hekker ved myrer, våtmark og fuktige skogsområder, og søker mat i grunt vann og bløt mark. Arten er trekkfugl og overvintrer langt sør for Norge.","Ca. 19–21 cm","Ca. 50–80 g","Slank vadefugl med brunspettet overside, lys underside, grønnlige bein og tydelig hvit overgump i flukt.","Våtmark, myr, skogkanter og grunne vannkanter.","Hekker i egnede våtmarks- og myrområder i store deler av Norge.","Trekkfugl. Ses i Norge vår, sommer og under trekk.","Insekter, larver, små krepsdyr og andre smådyr i grunt vann og bløt mark.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3730","https://artsdatabanken.no/arter/takson/3730","https://snl.no/gr%C3%B8nnstilk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråfluesnapper","graafluesnapper","publish","Fugler","Muscicapa striata","Gråfluesnapper er en diskret småfugl som ofte sitter oppreist på en grein og fanger insekter i korte utfall.","Gråfluesnapper er en nøkternt farget insektspiser med gråbrun overside, lys underside og svake striper på bryst og hode. Den jakter ofte fra en fast sitteplass og flyr ut for å fange insekter i lufta før den vender tilbake. Arten hekker i skog, hager, parker og åpne områder med trær.","Ca. 13–15 cm","Ca. 11–18 g","Gråbrun overside, lys underside og svakt stripet bryst og hode. Sitter ofte oppreist og gjør korte flygeturer etter insekter.","Skog, semi-naturlig mark, hager, parker og åpne områder med trær.","Hekker i store deler av Norge i egnede skog- og hagemiljøer.","Trekkfugl. Ses i Norge vår til høst.","Flygende insekter og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203727","https://artsdatabanken.no/arter/takson/203727","https://snl.no/gr%C3%A5fluesnapper","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Grågås","graagaas","publish","Fugler","Anser anser","Grågås er en stor gås og en vanlig hekkefugl langs norskekysten.","Grågås er en stor gråbrun gås med oransje nebb og rosa bein. Den hekker særlig langs kysten på øyer, holmer og i våtmarksområder, men kan også hekke ved innsjøer i lavlandet. Arten beiter på gras, urter og andre plantedeler og opptrer ofte i flokker utenfor hekketiden.","Ca. 75–90 cm","Ca. 2,5–4,0 kg","Stor gråbrun gås med kraftig kropp, oransje nebb og rosa bein. Lysere underside og tydelig gåseform i flukt.","Kyst, fjæresone, ferskvann, saltvann og våtmark.","Vanlig hekkefugl langs norskekysten og lokalt ved ferskvann i lavlandet.","Hekker vår og sommer. Mange trekker ut av landet, men en del overvintrer også i milde kystområder.","Planteføde som gras, urter, røtter, korn og andre plantedeler.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3436","https://artsdatabanken.no/arter/takson/3436","https://snl.no/gr%C3%A5g%C3%A5s","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråhegre","graahegre","publish","Fugler","Ardea cinerea","Gråhegre er en stor, langbeint vannfugl som jakter fisk og smådyr i vannkanten.","Gråhegre er en stor hegre med lange bein, lang hals og kraftig dolkformet nebb. Den står ofte stille i vannkanten på jakt etter fisk, amfibier og smådyr. I flukt trekker den halsen inn og flyr med rolige vingeslag. Arten hekker gjerne i kolonier i trær, ofte nær vann.","Ca. 84–102 cm","Ca. 1–2 kg","Stor grå fugl med lange bein, lang hals og kraftig nebb. I flukt holdes halsen trukket inn.","Ferskvann, fjæresone og våtmark.","Hekker i egnede områder i Norge, særlig ved kyst og ferskvann.","Hele året i milde områder. Noen trekker eller flytter seg til isfrie områder vinterstid.","Fisk, amfibier, smågnagere, insekter og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203585","https://artsdatabanken.no/arter/takson/203585","https://snl.no/gr%C3%A5hegre","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråmåke","graamaake","publish","Fugler","Larus argentatus","Gråmåke er en stor kystmåke med blågrå overside og hvit kropp, men arten er vurdert som sårbar i Norge.","Gråmåke er en stor og kraftig måke med blågrå rygg, hvit underside og svarte vingespisser med hvite flekker. Den hekker særlig på holmer, skjær, kystnære områder og lokalt i bymiljøer. Arten er altetende og finner mat både i marine miljøer og nær mennesker.","Ca. 55–67 cm","Ca. 0,8–1,5 kg","Stor måke med blågrå rygg, hvit kropp, gult nebb med rød flekk og svarte vingespisser med hvite markeringer.","Saltvann, fjæresone, ferskvann, kyst og sterkt endret mark.","Hekker langs hele norskekysten og lokalt i innlandet og bymiljøer.","Hele året i kystområder. Noen fugler trekker eller streifer utenfor hekketiden.","Fisk, marine smådyr, fugleegg, avfall, åtsel og annen tilgjengelig føde.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl.","3624","https://artsdatabanken.no/arter/takson/3624","https://snl.no/gr%C3%A5m%C3%A5ke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråsisik","graasisik","publish","Fugler","Acanthis flammea","Gråsisik er en liten fink med rød panneflekk som ofte opptrer i flokker på jakt etter frø.","Gråsisik er en liten og aktiv fink med brunstripet drakt, rød panneflekk og svart strupeflekk. Arten er knyttet til bjørkeskog, vierkratt, fjellskog og åpne skogområder. Den lever hovedsakelig av små frø, særlig fra bjørk og or, og kan opptre i store flokker utenfor hekketiden.","Ca. 12–14 cm","Ca. 10–16 g","Liten brunstripet fink med rød panneflekk og svart strupeflekk. Hannen kan ha rosarødlig bryst.","Fjell og skog, særlig bjørkeskog, vierkratt og åpne skogområder.","Hekker i store deler av Norge, særlig i nordlige og høyereliggende områder.","Hele året eller som streiffugl. Store flokker kan opptre vinterstid.","Små frø fra bjørk, or, urter og gras. Kan besøke fuglematere for små frø.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","188391","https://artsdatabanken.no/arter/takson/188391","https://snl.no/gr%C3%A5sisik","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråspett","graaspett","publish","Fugler","Picus canus","Gråspett er en mellomstor spett med grått hode og grønnlig overside.","Gråspett er en mellomstor spettefugl som ligner grønnspett, men er mindre og mer gråtonet. Den har grått hode, grønnlig overside og grå underside. Arten er knyttet til eldre løv- og blandingsskog, ofte i landskap med osp, død ved og god tilgang på maur og andre insekter.","27–33 cm","130–160 g","Grått hode, grønnlig overside og grå underside. Hannen har rød panne, mens hunnen mangler rødt på hodet.","Skog og semi-naturlig mark, særlig eldre løv- og blandingsskog.","Hekker spredt i egnede skogområder i Norge.","Hele året. Hovedsakelig standfugl.","Maur, insektlarver og andre smådyr, ofte funnet på bakken eller i død ved.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203617","https://artsdatabanken.no/arter/takson/203617","https://snl.no/gr%C3%A5spett","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråspurv","graaspurv","publish","Fugler","Passer domesticus","Gråspurv er en kjent spurvefugl som lever tett på mennesker, men er nå vurdert som nær truet i Norge.","Gråspurv er en robust og sosial småfugl knyttet til gårder, tettsteder og bymiljøer. Den hekker gjerne i hulrom på bygninger, under takstein eller i fuglekasser. Arten lever av frø, korn, matrester og insekter, særlig i hekketiden når ungene mates med smådyr.","Ca. 14–16 cm","Ca. 24–40 g","Hannen har grå isse, kastanjebrune sider på hodet og svart strupeflekk. Hunnen er mer brungrå og ensfarget.","Semi-naturlig mark og sterkt endret mark, særlig gårder, tettsteder og bymiljøer.","Finnes i store deler av Norge der den lever i nær tilknytning til mennesker.","Hele året. Hovedsakelig standfugl.","Frø, korn, matrester og insekter. Besøker gjerne fuglematere for frø og korn.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl.","203739","https://artsdatabanken.no/arter/takson/203739","https://snl.no/gr%C3%A5spurv","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gråtrost","graatrost","publish","Fugler","Turdus pilaris","Gråtrost er en vanlig trost som ofte hekker i kolonilignende grupper og lever av smådyr og bær.","Gråtrost er en mellomstor trost med grått hode og overgump, brun rygg og flekket bryst. Den hekker ofte i små kolonier i skogkanter, hager og kulturlandskap. Arten er kjent for å forsvare reirplassen aktivt. Om høsten og vinteren kan gråtrost opptre i store flokker på jakt etter bær.","Ca. 22–27 cm","Ca. 80–120 g","Grått hode, brun rygg, grå overgump og lys underside med mørke flekker.","Skog og semi-naturlig mark, ofte i skogkanter, parker, hager og kulturlandskap.","Hekker vanlig i store deler av Norge.","Delvis trekkfugl. Mange trekker sørover, men flokker kan også overvintre der det finnes bær.","Meitemark, insekter, snegler, bær og frukt.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4461","https://artsdatabanken.no/arter/takson/4461","https://snl.no/gr%C3%A5trost","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gulerle","gulerle","publish","Fugler","Motacilla flava","Gulerle er en slank erle med gul underside, knyttet til fuktige enger, myrer og åpne landskap.","Gulerle er en liten, slank spurvefugl med lang stjert og gul underside. Den opptrer i åpne, fuktige landskap som myrer, våtmarker, enger og beitemark. Arten lever av insekter og andre smådyr som den plukker fra bakken eller fanger i korte flygeturer.","Ca. 15–16 cm","Ca. 15–23 g","Slank fugl med lang stjert, gul underside og olivengrønn eller grålig overside. Flere underarter har ulik hodefarge.","Våtmark, fuktige enger, myrer, beitemark og annet åpent landskap.","Hekker spredt i egnede åpne og fuktige områder i Norge.","Trekkfugl. Ses i Norge vår til høst.","Insekter, edderkopper og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4252","https://artsdatabanken.no/arter/takson/4252","https://snl.no/gulerle","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gulsanger","gulsanger","publish","Fugler","Hippolais icterina","Gulsanger er en liten sangfugl i løvskog og hager, kjent for livlig og variert sang.","Gulsanger er en grønnlig og gulaktig sangfugl med kraftig, variert sang. Den hekker i løvskog, skogkanter, parker og hager med tett vegetasjon. Arten lever av insekter og andre smådyr, og kan også spise bær senere på sommeren.","Ca. 13–14 cm","Ca. 11–15 g","Grønnlig overside, gulaktig underside og relativt kraftig nebb. Sangen er rask, variert og ofte med imitasjoner.","Skog, særlig løvskog, skogkanter, parker og hager.","Hekker i egnede skog- og hagemiljøer i Norge, særlig i lavlandet.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og noe bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","4344","https://artsdatabanken.no/arter/takson/4344","https://snl.no/gulsanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Gulspurv","gulspurv","publish","Fugler","Emberiza citrinella","Gulspurv er en gul og brun buskspurv i kulturlandskap, men arten er vurdert som sårbar i Norge.","Gulspurv er en karakteristisk spurvefugl med gule tegninger på hode og underside. Den hekker i åpne og halvåpne landskap med busker, hekker, åkerkanter og skogbryn. Arten spiser mye frø, men ungene mates i stor grad med insekter.","Ca. 16–17 cm","Ca. 23–30 g","Gule partier på hode og underside, brunstripet rygg og relativt lang stjert. Hannen er tydeligst gulfarget.","Semi-naturlig mark og sterkt endret mark, særlig kulturlandskap, kantsoner, åkerkanter og buskrike områder.","Hekker i store deler av Norge i egnede kulturlandskap og kantsoner.","Hele året eller delvis trekkfugl. Mange samles i flokker utenfor hekketiden.","Frø og korn er viktig føde. Insekter er viktige i hekketiden. Kan besøke fuglematere for korn og frø.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl.","203768","https://artsdatabanken.no/arter/takson/203768","https://snl.no/gulspurv","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Hagesanger","hagesanger","publish","Fugler","Sylvia borin","Hagesanger er en anonymt farget sangfugl med kraftig, flytende sang.","Hagesanger er en brungrå og lite iøynefallende fugl, men synger rikt og kraftig. Den trives i løvskog, skogkanter, hager, parker og tett buskvegetasjon. Arten lever av insekter i hekketiden og spiser også bær på sensommeren og under trekk.","Ca. 13–15 cm","Ca. 15–24 g","Anonym brungrå overside og lys underside uten tydelige tegninger. Kraftig og flytende sang.","Skog og semi-naturlig mark, særlig løvskog, skogkanter, hager og buskrike områder.","Hekker i store deler av Norge i egnede skog- og hagemiljøer.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203676","https://artsdatabanken.no/arter/takson/203676","https://snl.no/hagesanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Hauksanger","hauksanger","publish","Fugler","Curruca nisoria","Hauksanger er en stor sanger knyttet til buskrike kyst- og kulturlandskap, og er kritisk truet i Norge.","Hauksanger er en stor og kraftig sanger med gråbrun overside, lys underside og tverrstriper på undersiden hos voksne fugler. Den er knyttet til buskrike, varme og åpne landskap, særlig kyst- og kulturlandskap. Arten er svært fåtallig i Norge og vurdert som kritisk truet.","Ca. 15–17 cm","Ca. 20–30 g","Stor sanger med gråbrun overside, lys underside og haukelignende tverrstriper hos voksne fugler.","Kyst og semi-naturlig mark med busker, kratt og åpne kantsoner.","Svært fåtallig og lokal hekkefugl i Norge.","Trekkfugl. Hekker i Norge om sommeren der den forekommer.","Insekter, larver, edderkopper og bær.","CR – Kritisk truet","Finnes i Norge. Svært fåtallig etablert hekkefugl.","203680","https://artsdatabanken.no/arter/takson/203680","https://snl.no/hauksanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Haukugle","haukugle","publish","Fugler","Surnia ulula","Haukugle er en dagaktiv ugle med lang stjert og haukelignende flukt.","Haukugle er en slank ugle med lang stjert, tydelig ansiktstegning og rask, direkte flukt som kan minne om en hauk. Den er mer dagaktiv enn mange andre ugler og sitter ofte synlig i tretopper. Arten hekker i skog, særlig i nordlige og høyereliggende områder, og lever hovedsakelig av smågnagere.","Ca. 35–43 cm","Ca. 230–430 g","Slank ugle med lang stjert, gule øyne, mørke ansiktstegninger og tverrstripet underside.","Skog, særlig barskog, fjellskog og åpne skogsområder.","Hekker i Norge, særlig i nordlige og høyereliggende skogsområder.","Hele året. Kan opptre invasjonsartet utenfor vanlige områder i smågnagerfattige år.","Smågnagere, småfugl og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203603","https://artsdatabanken.no/arter/takson/203603","https://snl.no/haukugle","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Havelle","havelle","publish","Fugler","Clangula hyemalis","Havelle er en liten dykkand som hekker ved ferskvann og overvintrer i saltvann.","Havelle er en liten dykkand med stor variasjon mellom sommer- og vinterdrakt. Hannen har karakteristisk lang stjert. Arten hekker ved ferskvann, våtmark og fjellvann, mens den utenfor hekketiden oppholder seg mye i saltvann. Den dykker etter smådyr på bunnen.","Ca. 38–60 cm inkludert stjert","Ca. 0,5–1,0 kg","Liten dykkand med kontrastrik drakt. Hannen har lang stjert og skiftende hvite, brune og svarte partier gjennom året.","Ferskvann, våtmark, fjell og saltvann.","Hekker i nordlige og høyereliggende områder i Norge og overvintrer ofte langs kysten.","Hekker om sommeren. Overvintrer i marine områder langs kysten.","Bløtdyr, krepsdyr, insektlarver og andre smådyr som tas ved dykking.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl.","3468","https://artsdatabanken.no/arter/takson/3468","https://snl.no/havelle","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Havhest","havhest","publish","Fugler","Fulmarus glacialis","Havhest er en pelagisk sjøfugl i stormfuglfamilien og er sterkt truet som hekkefugl i Fastlands-Norge.","Havhest er en havtilknyttet stormfugl som minner om en måke, men har stivere vingeslag og et rørformet nebb. Den tilbringer det meste av livet over åpent hav og hekker i kolonier på klipper og bratte kystområder. Arten spiser fisk, blekksprut, krepsdyr og annet organisk materiale fra havet.","Ca. 45–50 cm","Ca. 650–1000 g","Måkelignende sjøfugl med stive vinger, rørformet nebb og gråhvit eller mørkere draktvariasjon.","Saltvann og kyst.","Hekker lokalt langs kysten og oppholder seg ellers langt til havs.","Til stede i norske havområder store deler av året. Hekker i sommerhalvåret.","Fisk, krepsdyr, blekksprut, åtsel og annet organisk materiale fra havet.","EN – Sterkt truet","Finnes i Norge. Etablert, men truet hekkefugl på fastlandet.","3912","https://artsdatabanken.no/arter/takson/3912","https://snl.no/havhest","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Havsule","havsule","publish","Fugler","Morus bassanus","Havsule er en stor sjøfugl som stuper fra høyden for å fange fisk.","Havsule er en stor og lys sjøfugl med lange smale vinger, svart vingespiss og gulaktig hode hos voksne fugler. Den er kjent for spektakulære stupdykk etter fisk. Arten hekker i kolonier på bratte kystklipper og oppholder seg ellers i marine områder.","Ca. 87–100 cm","Ca. 2,5–3,6 kg","Stor hvit sjøfugl med svart vingespiss, langt nebb, smale vinger og gulaktig hode hos voksne fugler.","Saltvann og kyst.","Hekker lokalt i kolonier langs norskekysten og opptrer ellers i kyst- og havområder.","Hekker i sommerhalvåret. Opptrer i norske havområder store deler av året.","Fisk som fanges ved stupdykking, særlig stimfisk.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3868","https://artsdatabanken.no/arter/takson/3868","https://snl.no/havsule","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Havsvale","havsvale","publish","Fugler","Hydrobates pelagicus","Havsvale er Norges minste stormfugl og sees helst langt til havs.","Havsvale er en liten, mørk sjøfugl med hvit overgump og flaggermusaktig flukt lavt over bølgene. Den tilbringer mesteparten av livet på åpent hav og hekker skjult i hulrom eller sprekker på øyer og klipper. Arten er nattaktiv ved koloniene.","Ca. 14–18 cm","Ca. 20–40 g","Svært liten mørk sjøfugl med hvit overgump og lett, flagrende flukt lavt over sjøen.","Marine områder og kystnære hekkeplasser.","Hekker lokalt i Norge og opptrer ellers langt til havs.","Hekker i sommerhalvåret og oppholder seg ellers i marine områder.","Små krepsdyr, planktoniske dyr, små fisk og organisk materiale fra havoverflaten.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3900","https://artsdatabanken.no/arter/takson/3900","https://snl.no/havsvale","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Havørn","havorn","publish","Fugler","Haliaeetus albicilla","Havørn er Norges største rovfugl og en karakterart langs kysten.","Havørn er en svært stor rovfugl med brede vinger, kraftig nebb og lys hale hos voksne fugler. Den hekker særlig langs kysten, men også ved større innsjøer og vassdrag. Arten lever av fisk, sjøfugl, åtsel og andre byttedyr, og bygger store reir som kan brukes i mange år.","Ca. 76–94 cm","Ca. 3–7 kg","Svært stor rovfugl med brede vinger, kraftig nebb og hvit hale hos voksne fugler.","Fjæresone, kyst, saltvann, ferskvann, skog og fjell.","Hekker særlig langs norskekysten, men finnes også ved egnede innsjøer og vassdrag.","Hele året i store deler av utbredelsesområdet.","Fisk, sjøfugl, pattedyr, åtsel og annen animalsk føde.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3815","https://artsdatabanken.no/arter/takson/3815","https://snl.no/hav%C3%B8rn","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
"Heilo","heilo","publish","Fugler","Pluvialis apricaria","Heilo er en fjell- og myrfugl med gyllen overside og svart underside i sommerdrakt.","Heilo er en karakteristisk lofugl som hekker på myrer, lyngheier og fjellvidder. I sommerdrakt har den gyllenprikket overside og svart underside med hvit kant. Arten er trekkfugl og kan samles i flokker på jorder, strandenger og kystområder under trekk.","Ca. 26–29 cm","Ca. 150–220 g","Gyllenprikket overside og svart underside med hvit kant i sommerdrakt. Rund kroppsform og fløytende rop.","Fjell, myr, våtmark, lynghei og åpne beitemarker under trekk.","Hekker i fjell- og myrområder i store deler av Norge.","Trekkfugl. Hekker i Norge om sommeren og ses i flokker under trekk.","Insekter, larver, mark, snegler og andre smådyr, samt noe bær og frø.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl.","203531","https://artsdatabanken.no/arter/takson/203531","https://snl.no/heilo","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 3 - grunnfelt kontrollert"
