"post_title","post_name","post_status","artsgruppe","vitenskapelig_navn","engelsk_navn","kort_beskrivelse","lang_beskrivelse","storrelse","vekt","kjennetegn","levested","utbredelse","sesong_aktiv_periode","mat_naering","rodlistestatus","status_i_norge","artsdatabanken_takson_id","kilde_artsdatabanken","kilde_snl","kilde_fuglevennen_miljolaere","kilde_birdlife_fugleatlas","sist_kontrollert","importstatus"
"Ringtrost","ringtrost","publish","Fugler","Turdus torquatus","Ring Ouzel","Ringtrost er en fjell- og kysttrost med lys brystkrage hos voksne fugler.","<h2>Om ringtrost</h2><p>Ringtrost (<em>Turdus torquatus</em>) er en fugleart i artsoversikten til Naturblikk. Ringtrost er en fjell- og kysttrost med lys brystkrage hos voksne fugler. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h2>Kjennetegn</h2><p>Ringtrost kjennes særlig på følgende trekk: mørk trost med lys brystkrage, lysere vingekanter og skjellaktige tegninger, særlig hos hunnen. Oppgitt størrelse Ca. 23–26 cm og vekt Ca. 90–140 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til fjell, berg og ur, kyst og åpne heiområder. Hekker i fjell- og kystområder i Norge. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever ringtrost av insekter, mark, snegler og bær. Næringssøket er derfor nært knyttet til våtmark, vann, kyst eller andre fuktige leveområder arten bruker.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er ringtrost nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 23–26 cm","Ca. 90–140 g","Mørk trost med lys brystkrage, lysere vingekanter og skjellaktige tegninger, særlig hos hunnen.","Fjell, berg og ur, kyst og åpne heiområder.","Hekker i fjell- og kystområder i Norge.","Trekkfugl. Ses i Norge vår til høst.","Insekter, mark, snegler og bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203722","https://artsdatabanken.no/arter/takson/203722","https://snl.no/ringtrost","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rosenfink","rosenfink","publish","Fugler","Carpodacus erythrinus","Common Rosefinch","Rosenfink er en fink der voksne hanner har rosenrød fjærdrakt, vurdert som nær truet i Norge.","<h2>Om rosenfink</h2><p>Rosenfink (<em>Carpodacus erythrinus</em>) er en fugleart i artsoversikten til Naturblikk. Rosenfink er en fink der voksne hanner har rosenrød fjærdrakt, vurdert som nær truet i Norge. Arten er registrert med status i Norge: Finnes i Norge. Etablert, men fåtallig hekkefugl. Rødlistestatusen er NT – Nær truet.</p><h2>Kjennetegn</h2><p>Rosenfink kjennes særlig på følgende trekk: voksen hann er rosenrød på hode, bryst og overgump. Hunnen er brunstripet og mer diskret. Oppgitt størrelse Ca. 14–15 cm og vekt Ca. 20–30 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til våtmark, kyst, skog og semi-naturlig mark med busker og kratt. Hekker fåtallig og spredt i Norge, særlig i egnede buskrike områder. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever rosenfink av frø, knopper, bær og insekter. Næringssøket er derfor nært knyttet til våtmark, vann, kyst eller andre fuktige leveområder arten bruker.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er rosenfink nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 14–15 cm","Ca. 20–30 g","Voksen hann er rosenrød på hode, bryst og overgump. Hunnen er brunstripet og mer diskret.","Våtmark, kyst, skog og semi-naturlig mark med busker og kratt.","Hekker fåtallig og spredt i Norge, særlig i egnede buskrike områder.","Trekkfugl. Ses i Norge vår til høst.","Frø, knopper, bær og insekter.","NT – Nær truet","Finnes i Norge. Etablert, men fåtallig hekkefugl.","203756","https://artsdatabanken.no/arter/takson/203756","https://snl.no/rosenfink","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rugde","rugde","publish","Fugler","Scolopax rusticola","Eurasian Woodcock","Rugde er en skogssnipe med lang nebb og brunspettet kamuflasjedrakt.","<h2>Om rugde</h2><p>Rugde (<em>Scolopax rusticola</em>) er en fugleart i artsoversikten til Naturblikk. Rugde er en skogssnipe med lang nebb og brunspettet kamuflasjedrakt. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h2>Kjennetegn</h2><p>Rugde kjennes særlig på følgende trekk: stor snipe med langt nebb, bred kropp, store øyne og brunspettet kamuflasjedrakt. Oppgitt størrelse Ca. 33–38 cm og vekt Ca. 250–420 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til skog, særlig fuktig løv- og blandingsskog med myk jord. Hekker i skogområder i store deler av Norge. Sesong og forekomst er oppgitt slik: Trekkfugl eller delvis overvintrende i milde kystområder.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever rugde av meitemark, insekter, larver og andre smådyr i jord og strølag. Næringsvalget henger tett sammen med skogmiljøene og årstiden.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er rugde nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 33–38 cm","Ca. 250–420 g","Stor snipe med langt nebb, bred kropp, store øyne og brunspettet kamuflasjedrakt.","Skog, særlig fuktig løv- og blandingsskog med myk jord.","Hekker i skogområder i store deler av Norge.","Trekkfugl eller delvis overvintrende i milde kystområder.","Meitemark, insekter, larver og andre smådyr i jord og strølag.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3727","https://artsdatabanken.no/arter/takson/3727","https://snl.no/rugde","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rødnebbterne","roednebbterne","publish","Fugler","Sterna paradisaea","Arctic Tern","Rødnebbterne er en grasiøs kyst- og fjellterne med svært lang trekkreise.","<h2>Om rødnebbterne</h2><p>Rødnebbterne (<em>Sterna paradisaea</em>) er en fugleart i artsoversikten til Naturblikk. Rødnebbterne er en grasiøs kyst- og fjellterne med svært lang trekkreise. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h2>Kjennetegn</h2><p>Rødnebbterne kjennes særlig på følgende trekk: gråhvit terne med svart hette, rødt nebb, røde bein og lang, dypt kløftet stjert. Oppgitt størrelse Ca. 34 cm og vekt Ca. 100 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til kyst, saltvann, fjæresone, våtmark, ferskvann og fjellnære hekkeplasser. Hekker langs norskekysten, særlig i nord, og lokalt ved ferskvann og i fjellområder. Sesong og forekomst er oppgitt slik: Trekkfugl. Hekker i Norge om sommeren og trekker svært langt utenom hekketiden.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever rødnebbterne av småfisk, planktoniske krepsdyr og insekter som fanges ved stupdykking eller plukking. Næringssøket er derfor nært knyttet til våtmark, vann, kyst eller andre fuktige leveområder arten bruker.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er rødnebbterne nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 34 cm","Ca. 100 g","Gråhvit terne med svart hette, rødt nebb, røde bein og lang, dypt kløftet stjert.","Kyst, saltvann, fjæresone, våtmark, ferskvann og fjellnære hekkeplasser.","Hekker langs norskekysten, særlig i nord, og lokalt ved ferskvann og i fjellområder.","Trekkfugl. Hekker i Norge om sommeren og trekker svært langt utenom hekketiden.","Småfisk, planktoniske krepsdyr og insekter som fanges ved stupdykking eller plukking.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3771","https://artsdatabanken.no/arter/takson/3771","https://snl.no/r%C3%B8dnebbterne","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rødstilk","roedstilk","publish","Fugler","Tringa totanus","Common Redshank","Rødstilk er en vadefugl med røde bein og klare varselrop, vurdert som nær truet i Norge.","<h2>Om rødstilk</h2><p>Rødstilk (<em>Tringa totanus</em>) er en fugleart i artsoversikten til Naturblikk. Rødstilk er en vadefugl med røde bein og klare varselrop, vurdert som nær truet i Norge. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er NT – Nær truet.</p><h2>Kjennetegn</h2><p>Rødstilk kjennes særlig på følgende trekk: røde bein, rødlig nebbbasis, brunspettet overside og bred hvit bakkant på vingene i flukt. Oppgitt størrelse Ca. 27–29 cm og vekt Ca. 85–155 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til våtmark, semi-naturlig mark, fjell, skogkanter, fjæresone, kyst og ferskvann. Hekker i egnede våtmarks- og kystområder i store deler av Norge. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever rødstilk av insekter, larver, krepsdyr, bløtdyr, mark og andre smådyr. Næringssøket er derfor nært knyttet til våtmark, vann, kyst eller andre fuktige leveområder arten bruker.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er rødstilk nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 27–29 cm","Ca. 85–155 g","Røde bein, rødlig nebbbasis, brunspettet overside og bred hvit bakkant på vingene i flukt.","Våtmark, semi-naturlig mark, fjell, skogkanter, fjæresone, kyst og ferskvann.","Hekker i egnede våtmarks- og kystområder i store deler av Norge.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, krepsdyr, bløtdyr, mark og andre smådyr.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl.","3736","https://artsdatabanken.no/arter/takson/3736","https://snl.no/r%C3%B8dstilk","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rødstjert","roedstjert","publish","Fugler","Phoenicurus phoenicurus","Common Redstart","Rødstjert er en liten hulrugende fluesnapper med rustfarget stjert.","<h2>Om rødstjert</h2><p>Rødstjert (<em>Phoenicurus phoenicurus</em>) er en fugleart i artsoversikten til Naturblikk. Rødstjert er en liten hulrugende fluesnapper med rustfarget stjert. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h2>Kjennetegn</h2><p>Rødstjert kjennes særlig på følgende trekk: rustfarget stjert som ofte dirrer. Hannen har grått hode, svart ansikt og oransje bryst. Oppgitt størrelse Ca. 13–14,5 cm og vekt Ca. 12–20 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til skog, særlig åpen barskog og blandingsskog, samt parker og hager med hulrom. Hekker i store deler av Norge i egnede skogområder. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever rødstjert av insekter, larver, edderkopper og noe bær. Næringsvalget henger tett sammen med skogmiljøene og årstiden.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er rødstjert nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 13–14,5 cm","Ca. 12–20 g","Rustfarget stjert som ofte dirrer. Hannen har grått hode, svart ansikt og oransje bryst.","Skog, særlig åpen barskog og blandingsskog, samt parker og hager med hulrom.","Hekker i store deler av Norge i egnede skogområder.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og noe bær.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","160615","https://artsdatabanken.no/arter/takson/160615","https://snl.no/r%C3%B8dstjert","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Rødstrupe","roedstrupe","publish","Fugler","Erithacus rubecula","European Robin","Rødstrupe er en liten skogsfugl med oransjerødt ansikt og bryst og en klar, sildrende sang.","<h2>Om rødstrupe</h2><p>Rødstrupe (<em>Erithacus rubecula</em>) er en liten og tillitsfull skogsfugl med en av våre mest særpregede sangstemmer. Den holder seg gjerne nær bakken i tett vegetasjon.</p><h2>Kjennetegn</h2><p>Voksne fugler har oransjerødt ansikt, strupe og bryst, olivenbrun rygg og lys buk. Hann og hunn er like. Ungfuglene er brunspettede og får først senere den karakteristiske røde fargen.</p><h2>Levested og utbredelse</h2><p>Arten trives i skyggefull skog med tett undervegetasjon, men finnes også i parker og hager med busker og løvdekke. Den er vanlig over det meste av landet nord til Troms og mer fåtallig i Finnmark.</p><h2>Mat og atferd</h2><p>Rødstrupe leter etter insekter, larver, edderkopper og andre smådyr på eller nær bakken. Om høsten og vinteren spiser den også bær og frukt. Den forsvarer territorium store deler av året.</p><h2>Lyd</h2><p>Sangen er klar, sildrende og litt vemodig og høres ofte tidlig om morgenen og sent på dagen. Arten kan synge både vår, høst og på milde vinterdager.</p><h2>Hekking og fuglekasse</h2><p>Reiret legges i et hulrom på eller nær bakken, for eksempel mellom røtter, i en skrent eller i en åpen fuglekasse. Hunnen ruger vanligvis seks–sju egg i 12–14 dager, og ungene forlater reiret etter omtrent to uker.</p><h2>Ved fuglemater</h2><p>Rødstrupe foretrekker mat nær bakken og kan besøke fôringsplasser med melorm, frukt og myk fettmat. Den liker åpne fôringssteder med tett skjul i nærheten.</p><h2>Status</h2><p>Rødstrupe er en vanlig og etablert hekkefugl i Norge. Arten er vurdert som LC – Livskraftig på Norsk rødliste for arter.</p>","Ca. 14 cm","Ca. 16–22 g","Oransjerødt ansikt, strupe og bryst, olivenbrun rygg og lys buk. Kjønnene er like. Ungfuglene er brunspettede og mangler den røde brystfargen.","Skyggefull skog med tett undervegetasjon, samt parker og hager med busker, løv og skjul nær bakken.","Vanlig over det meste av Norge nord til Troms og mer fåtallig i Finnmark.","Overveiende trekkfugl. Mange overvintrer i Sørvest-Europa, mens noen blir igjen i kyststrøk i Sør-Norge.","Insekter, larver, edderkopper og andre smådyr. Om høsten og vinteren spiser den også bær og frukt.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203728","https://artsdatabanken.no/arter/takson/203728","https://snl.no/r%C3%B8dstrupe","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 2 og språkvasket 2026-07-15"
"Rødvingetrost","roedvingetrost","publish","Fugler","Turdus iliacus","Redwing","Rødvingetrost er Norges minste trost og kjennes på lys øyenbrynstripe og rustrøde kroppssider og vingedekketøy.","<h2>Om rødvingetrost</h2><p>Rødvingetrost (<em>Turdus iliacus</em>) er en liten og livlig trost som hekker i skog og kratt over store deler av landet. Under trekket kan den samle seg i store flokker sammen med andre troster.</p><h2>Kjennetegn</h2><p>Den har tydelig lys øyenbrynstripe, mørk skjeggstripe og rustrøde kroppssider og undervinger. Oversiden er brun og undersiden lys med mørke flekker.</p><h2>Levested og utbredelse</h2><p>Arten er særlig vanlig i bjørkeskog, fjellbjørkeskog, vierkratt og skogkanter. Den hekker over store deler av Norge og er ofte tallrik i nordlige og høyereliggende områder.</p><h2>Mat og atferd</h2><p>Rødvingetrosten spiser insekter, mark og snegler om våren og sommeren. Om høsten går den i stor grad over til bær og frukt.</p><h2>Lyd</h2><p>Sangen er kort og varierer mellom områder, men består ofte av noen klare innledningstoner fulgt av en svakere, skravlende avslutning. Fluktlyden er et tynt «siiip».</p><h2>Hekking</h2><p>Reiret plasseres gjerne lavt i en busk, på bakken eller i en trekløft. Hunnen legger vanligvis fire til seks egg, og begge foreldrene mater ungene.</p><h2>I hagen</h2><p>På trekk og om høsten kan rødvingetrost oppsøke hager med rognebær, epler og andre frukter. Den søker ofte maten på bakken.</p><h2>Status</h2><p>Rødvingetrost er en vanlig og etablert hekkefugl på Fastlands-Norge og er vurdert som LC – Livskraftig.</p>","Ca. 20–22 cm","Ca. 50–75 g","Lys øyenbrynstripe, mørk skjeggstripe, rustrøde kroppssider og undervinger, brun overside og flekket underside.","Bjørkeskog, fjellbjørkeskog, vierkratt, skogkanter og hager under trekk.","Vanlig hekkefugl over store deler av Norge, særlig i nordlige og høyereliggende områder.","Trekkfugl. De fleste trekker ut av landet om høsten, mens enkelte overvintrer i milde områder.","Insekter, meitemark og snegler i sommerhalvåret, samt bær og frukt om høsten.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl på Fastlands-Norge.","4449","https://artsdatabanken.no/arter/takson/4449","https://snl.no/r%C3%B8dvingetrost","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-15","Fullstendig kvalitetssikret – batch 3 og språkvasket 2026-07-15"
"Rørsanger","roersanger","publish","Fugler","Acrocephalus scirpaceus","Common Reed Warbler","Rørsanger er en liten brun sangfugl som hekker i takrør og tett våtmarksvegetasjon.","<h2>Om rørsanger</h2><p>Rørsanger (<em>Acrocephalus scirpaceus</em>) er en fugleart i artsoversikten til Naturblikk. Rørsanger er en liten brun sangfugl som hekker i takrør og tett våtmarksvegetasjon. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h2>Kjennetegn</h2><p>Rørsanger kjennes særlig på følgende trekk: ensartet brun overside, lys underside, avrundet stjert og skjult atferd i takrør. Sangen er rytmisk og skravlende. Oppgitt størrelse Ca. 12–13 cm og vekt Ca. 10–15 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til våtmark og ferskvann, særlig takrørbelter og tett sumpvegetasjon. Hekker lokalt i Norge, særlig i Sør-Norge ved egnede takrørområder. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever rørsanger av insekter, larver, edderkopper og andre smådyr i våtmarksvegetasjon. Næringssøket er derfor nært knyttet til våtmark, vann, kyst eller andre fuktige leveområder arten bruker.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er rørsanger nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 12–13 cm","Ca. 10–15 g","Ensartet brun overside, lys underside, avrundet stjert og skjult atferd i takrør. Sangen er rytmisk og skravlende.","Våtmark og ferskvann, særlig takrørbelter og tett sumpvegetasjon.","Hekker lokalt i Norge, særlig i Sør-Norge ved egnede takrørområder.","Trekkfugl. Ses i Norge vår til høst.","Insekter, larver, edderkopper og andre smådyr i våtmarksvegetasjon.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","203667","https://artsdatabanken.no/arter/takson/203667","https://snl.no/r%C3%B8rsanger","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 6 - grunnfelt kontrollert"
"Sandlo","sandlo","publish","Fugler","Charadrius hiaticula","Common Ringed Plover","Sandlo er en liten lofugl som hekker på strender, grusflater, fjellvidder og andre åpne områder.","<h2>Om sandlo</h2><p>Sandlo (<em>Charadrius hiaticula</em>) er en fugleart i artsoversikten til Naturblikk. Sandlo er en liten lofugl som hekker på strender, grusflater, fjellvidder og andre åpne områder. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er LC – Livskraftig.</p><h2>Kjennetegn</h2><p>Sandlo kjennes særlig på følgende trekk: Liten lo med oransje bein, kort nebb, svart brystbånd og tydelig svart-hvitt hode i sommerdrakt. Oppgitt størrelse er Ca. 18–20 cm, og oppgitt vekt er Ca. 45–75 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til Fjell, fjæresone, kyst og åpne grus- eller sandflater. Hekker langs kysten og i fjellområder i Norge. Sesong og forekomst er oppgitt slik: Trekkfugl. Hekker i Norge vår og sommer og ses også under trekk.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever sandlo av Insekter, larver, små krepsdyr, mark og andre smådyr. Næringssøket er derfor nært knyttet til kyst, vann, våtmark eller åpne områder der arten finner egnede byttedyr og matressurser.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er sandlo nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 18–20 cm","Ca. 45–75 g","Liten lo med oransje bein, kort nebb, svart brystbånd og tydelig svart-hvitt hode i sommerdrakt.","Fjell, fjæresone, kyst og åpne grus- eller sandflater.","Hekker langs kysten og i fjellområder i Norge.","Trekkfugl. Hekker i Norge vår og sommer og ses også under trekk.","Insekter, larver, små krepsdyr, mark og andre smådyr.","LC – Livskraftig","Finnes i Norge. Etablert hekkefugl.","3587","https://artsdatabanken.no/arter/takson/3587","https://snl.no/sandlo","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 7 - grunnfelt kontrollert"
"Sandsvale","sandsvale","publish","Fugler","Riparia riparia","Sand Martin","Sandsvale er en liten brun svale som hekker i kolonier i sand- og leirskråninger.","<h2>Om sandsvale</h2><p>Sandsvale (<em>Riparia riparia</em>) er en fugleart i artsoversikten til Naturblikk. Sandsvale er en liten brun svale som hekker i kolonier i sand- og leirskråninger. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er VU – Sårbar.</p><h2>Kjennetegn</h2><p>Sandsvale kjennes særlig på følgende trekk: Liten brun svale med hvit underside og brunt brystbånd. Kortere stjert enn låvesvale. Oppgitt størrelse er Ca. 12–13 cm, og oppgitt vekt er Ca. 11–18 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til Ferskvann, berg og ur, semi-naturlig mark, sandtak og elvekanter. Hekker spredt i Norge der det finnes egnede sandskråninger og insektrike områder. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever sandsvale av Flygende insekter som fanges i lufta. Næringssøket er derfor nært knyttet til våtmark, vann, mudderflater eller fuktige leveområder arten bruker.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er sandsvale nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 12–13 cm","Ca. 11–18 g","Liten brun svale med hvit underside og brunt brystbånd. Kortere stjert enn låvesvale.","Ferskvann, berg og ur, semi-naturlig mark, sandtak og elvekanter.","Hekker spredt i Norge der det finnes egnede sandskråninger og insektrike områder.","Trekkfugl. Ses i Norge vår til høst.","Flygende insekter som fanges i lufta.","VU – Sårbar","Finnes i Norge. Etablert hekkefugl.","203660","https://artsdatabanken.no/arter/takson/203660","https://snl.no/sandsvale","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 7 - grunnfelt kontrollert"
"Sanglerke","sanglerke","publish","Fugler","Alauda arvensis","Eurasian Skylark","Sanglerke er en kjent fugl i åpne jordbruks- og kulturlandskap, med langvarig sangflukt.","<h2>Om sanglerke</h2><p>Sanglerke (<em>Alauda arvensis</em>) er en fugleart i artsoversikten til Naturblikk. Sanglerke er en kjent fugl i åpne jordbruks- og kulturlandskap, med langvarig sangflukt. Arten er registrert med status i Norge: Finnes i Norge. Etablert hekkefugl. Rødlistestatusen er NT – Nær truet.</p><h2>Kjennetegn</h2><p>Sanglerke kjennes særlig på følgende trekk: Brunstripet fugl med kort topp på hodet, lys underside og karakteristisk lang sangflukt. Oppgitt størrelse er Ca. 16–18 cm, og oppgitt vekt er Ca. 30–45 g.</p><h2>Levested og utbredelse</h2><p>Arten er knyttet til Kyst, semi-naturlig mark, sterkt endret mark, jordbrukslandskap og åpne enger. Hekker i egnede åpne landskap, særlig i lavlandet og jordbruksområder. Sesong og forekomst er oppgitt slik: Trekkfugl. Ses i Norge vår til høst, og enkelte kan overvintre i milde områder.</p><h2>Mat og adferd</h2><p>Når det gjelder næring, lever sanglerke av Frø, grønne plantedeler og insekter. Næringssøket er derfor nært knyttet til kyst, vann, våtmark eller åpne områder der arten finner egnede byttedyr og matressurser.</p><h2>Status og bruk i Naturblikk</h2><p>I Naturblikk-sammenheng er sanglerke nyttig å presentere både med en kort faktaoversikt og en mer utfyllende beskrivelse. Faktafeltene viser de raske nøkkelopplysningene, mens denne teksten samler kjennetegn, leveområde, utbredelse, næring, sesong og status i en mer lesbar form.</p>","Ca. 16–18 cm","Ca. 30–45 g","Brunstripet fugl med kort topp på hodet, lys underside og karakteristisk lang sangflukt.","Kyst, semi-naturlig mark, sterkt endret mark, jordbrukslandskap og åpne enger.","Hekker i egnede åpne landskap, særlig i lavlandet og jordbruksområder.","Trekkfugl. Ses i Norge vår til høst, og enkelte kan overvintre i milde områder.","Frø, grønne plantedeler og insekter.","NT – Nær truet","Finnes i Norge. Etablert hekkefugl.","203657","https://artsdatabanken.no/arter/takson/203657","https://snl.no/sanglerke","","https://www.birdlife.no/fuglekunnskap/fugleatlas/","2026-07-08","Kvalitetssikret batch 7 - grunnfelt kontrollert"
